"","agg","sampleID","pos","Zone","treatment","tank","genet","actual.mid","MQY","Chla_norm","tot_chl_norm","SymHostRatio","weight"
"64","2","2-I-3","I","low","H","3","G1",0.233,0.634,0.711070693,1.131590875,0.032803646,0.97
"65","2","2-I-5","I","low","C","5","G1",0.233,0.658,1.344638946,1.757691767,0.050590139,0.73
"66","2","2-O-6","O","low","C","6","G1",0.233,0.675,2.167128132,2.982107962,0.032352029,0.64
"67","2","2-I-6","I","low","C","6","G1",0.233,0.701,1.53653746,2.374550269,0.053105312,0.53
"68","2","2-I-4","I","low","C","4","G1",0.233,0.66,3.365171532,4.589207662,0.297301779,1.74
"69","2","2-I-2","I","low","H","2","G1",0.233,0.648,1.948249899,5.188087766,0.07588718,0.59
"70","2","2-I-1","I","low","H","1","G1",0.233,0.592,0.485773634,0.613025273,0.034794426,1.26
"71","2","2-O-3","O","low","H","3","G1",0.233,0.618,1.734033805,3.071802256,0.043134917,0.41
"72","2","2-O-2","O","low","H","2","G1",0.233,0.588,1.625776154,4.008523182,0.050531728,0.27
"73","2","2-O-1","O","low","H","1","G1",0.233,0.637,0.751785808,0.728656851,0.057114466,0.92
"74","2","2-O-4","O","low","C","4","G1",0.233,0.658,2.57143165,3.858056173,0.133971683,0.19
"75","3","3-O-2","O","low","H","2","G1",0.783,0.594,1.930437386,4.084660815,0.159044237,0.71
"76","3","3-O-4","O","low","C","4","G1",0.783,0.672,2.401006157,4.733844145,0.194791145,0.67
"77","3","3-I-3","I","low","H","3","G1",0.783,0.657,1.27660452,1.27195008,0.096054699,0.86
"78","3","3-O-1","O","low","H","1","G1",0.783,0.555,0.709860041,0.980434649,0.029360086,0.38
"79","3","3-I-1","I","low","H","1","G1",0.783,0.534,1.397958454,1.682434743,0.073048578,0.76
"80","3","3-I-6","I","low","C","6","G1",0.783,0.646,2.300803946,3.108746137,0.173739777,0.58
"81","3","3-O-5","O","low","C","5","G1",0.783,0.648,2.243572538,2.790479937,0.399841466,0.38
"82","3","3-I-4","I","low","C","4","G1",0.783,0.602,1.581783423,2.022067701,0.158768873,0.92
"83","3","3-I-5","I","low","C","5","G1",0.783,0.639,3.137996588,4.272241132,NA,0.61
"84","3","3-O-6","O","low","C","6","G1",0.783,0.683,2.389488725,4.360514422,0.271683716,0.26
"85","3","3-O-3","O","low","H","3","G1",0.783,0.595,0.175004655,-0.700647202,NA,0.24
"86","3","3-I-2","I","low","H","2","G1",0.783,0.595,0.868512989,1.343444223,0.042541066,0.42
"87","4","4-I-4","I","low","C","4","G4",0.248,0.646,2.269281781,2.858886943,0.142595464,0.65
"88","4","4-O-3","O","low","H","3","G4",0.248,0.576,1.003937619,1.612020092,0.027680235,0.45
"89","4","4-I-2","I","low","H","2","G4",0.248,0.62,1.818962019,2.432253414,0.025826572,0.74
"90","4","4-I-3","I","low","H","3","G4",0.248,0.625,3.018689104,6.897689595,0.041665584,0.75
"91","4","4-O-1","O","low","H","1","G4",0.248,0.476,2.577385057,7.062619536,0.043134917,0.23
"92","4","4-O-2","O","low","H","2","G4",0.248,0.597,1.961079359,4.78058173,0.045122787,0.23
"93","4","4-I-5","I","low","C","5","G4",0.248,0.67,3.003965076,3.297245345,NA,0.77
"94","4","4-O-4","O","low","C","4","G4",0.248,0.648,2.708471985,3.993197682,0.246985799,0.36
"95","4","4-O-6","O","low","C","6","G4",0.248,0.679,2.671782049,3.758275831,0.125869444,0.48
"96","4","4-I-6","I","low","C","6","G4",0.248,0.708,4.045212079,4.570215964,0.095061172,0.97
"97","4","4-O-5","O","low","C","5","G4",0.248,0.672,3.128358513,4.187044462,0.263340259,0.58
"98","4","4-I-1","I","low","H","1","G4",0.248,0.622,0.735088951,0.967337389,0.08478777,0.67
"99","5","5-O-5","O","low","C","5","G5",0.274,0.666,2.194036376,3.580611527,NA,0.44
"100","5","5-I-2","I","low","H","2","G5",0.274,0.586,1.801452707,3.142346651,0.039968299,0.77
"101","5","5-O-2","O","low","H","2","G5",0.274,0.514,1.734235244,5.434046811,0.03355101,0.91
"102","5","5-I-3","I","low","H","3","G5",0.274,0.62,1.792736242,4.032464992,0.026187098,0.55
"103","5","5-I-6","I","low","C","6","G5",0.274,0.665,2.188717355,3.836709289,0.151774361,1.09
"104","5","5-O-3","O","low","H","3","G5",0.274,0.641,1.033188621,1.318705818,0.032464347,0.47
"105","5","5-I-1","I","low","H","1","G5",0.274,0.603,1.534132428,2.566859169,0.032464347,0.42
"106","5","5-O-4","O","low","C","4","G5",0.274,0.649,NA,NA,0.324209889,0.57
"107","5","5-I-5","I","low","C","5","G5",0.274,0.664,1.703922267,2.320048956,0.458502022,0.32
"108","5","5-I-4","I","low","C","4","G5",0.274,0.669,1.193887541,1.57251389,0.219912269,0.64
"109","5","5-O-6","O","low","C","6","G5",0.274,0.684,2.24470361,3.444870893,0.061853541,0.35
"110","5","5-O-1","O","low","H","1","G5",0.274,0.565,1.440678477,1.79058284,0.046714039,0.64
"111","7","7-O-3","O","high","H","3","G1",1.108,0.655,0.113595242,0.37091261,0.094732285,0.26
"112","7","7-I-2","I","high","H","2","G1",1.108,0.616,0.500996458,0.715098868,0.144586023,0.65
"113","7","7-I-3","I","high","H","3","G1",1.108,0.64,1.376272758,1.992838467,0.123707082,2.12
"114","7","7-O-1","O","high","H","1","G1",1.108,0.632,0.387605981,0.188489333,0.04591152,0.31
"115","7","7-O-4","O","high","C","4","G1",1.108,0.656,0.942604453,0.888370288,0.147113342,0.62
"116","7","7-I-4","I","high","C","4","G1",1.108,0.692,1.884971926,3.925141596,0.4315202,0.24
"117","7","7-O-6","O","high","C","6","G1",1.108,0.692,2.116558613,3.060621907,0.197510328,0.27
"118","7","7-I-6","I","high","C","6","G1",1.108,0.711,1.560171192,1.811158919,0.13030822,0.29
"119","7","7-O-5","O","high","C","5","G1",1.108,0.717,2.384952772,3.32648348,0.290175979,0.81
"120","7","7-I-1","I","high","H","1","G1",1.108,0.625,0.954942333,1.080619068,0.072795849,0.94
"121","7","7-I-5","I","high","C","5","G1",1.108,0.71,3.451103935,4.603325464,0.630688704,0.52
"122","7","7-O-2","O","high","H","2","G1",1.108,0.651,0.591440397,0.131959446,0.098073012,0.48
"123","8","8-O-1","O","high","H","1","G1",1.038,0.634,0.895213305,1.354781503,0.053289681,0.27
"124","8","8-O-4","O","high","C","4","G1",1.038,0.685,3.057312759,4.086422578,0.071793647,0.63
"125","8","8-O-6","O","high","C","6","G1",1.038,0.709,4.000181815,5.259172368,0.133971683,0.35
"126","8","8-I-3","I","high","H","3","G1",1.038,0.626,1.090319513,2.202239087,0.084494427,2.14
"127","8","8-I-2","I","high","H","2","G1",1.038,0.563,1.250768324,1.841273546,0.067451765,1.56
"128","8","8-O-5","O","high","C","5","G1",1.038,0.672,1.655824179,2.332855787,0.184923439,0.48
"129","8","8-I-6","I","high","C","6","G1",1.038,0.694,3.610403245,4.712867759,0.158768873,0.59
"130","8","8-I-5","I","high","C","5","G1",1.038,0.64,3.713692784,5.445259597,0.055939067,0.57
"131","8","8-O-3","O","high","H","3","G1",1.038,0.643,0.323294222,0.695041364,0.064480199,0.22
"132","8","8-O-2","O","high","H","2","G1",1.038,0.651,2.207696865,5.982078642,0.090245575,0.38
"133","8","8-I-1","I","high","H","1","G1",1.038,0.649,0.805578968,1.001603254,NA,0.68
"134","8","8-I-4","I","high","C","4","G1",1.038,0.673,1.90284658,2.275498805,0.093428078,1.2
"135","9","9-O-3","O","high","H","3","G9",1.193,0.666,2.792210904,4.190693945,0.092461719,1.13
"136","9","9-I-1","I","high","H","1","G9",1.193,0.684,2.007057592,3.210491351,0.034915223,1.05
"137","9","9-I-6","I","high","C","6","G9",1.193,0.675,2.882483328,2.979440451,0.052374196,1.16
"138","9","9-O-2","O","high","H","2","G9",1.193,0.639,2.272991369,3.579422598,0.068393356,0.83
"139","9","9-O-5","O","high","C","5","G9",1.193,0.71,2.048362656,2.767108432,0.12873712,1.13
"140","9","9-O-1","O","high","H","1","G9",1.193,0.645,2.467890404,3.153230964,0.038207509,0.61
"141","9","9-O-4","O","high","C","4","G9",1.193,0.684,1.823679632,2.35526982,0.082183923,0.45
"142","9","9-I-4","I","high","C","4","G9",1.193,0.68,1.950931992,4.494247026,0.174342958,1.81
"143","9","9-I-5","I","high","C","5","G9",1.193,0.709,2.974438767,4.003644632,0.163232473,1.92
"144","9","9-I-2","I","high","H","2","G9",1.193,0.699,1.436967753,2.238618552,0.031358492,0.52
"145","9","9-O-6","O","high","C","6","G9",1.193,0.661,2.444984448,3.381389817,0.102592701,0.69
"146","9","9-I-3","I","high","H","3","G9",1.193,0.635,0.863288533,0.948527098,0.058314562,0.8
