"","agg","sampleID","pos","Zone","treatment","tank","genet","actual.mid"
"118","7","7-I-1","I","high","H",1,"G1",1.108
"119","7","7-I-5","I","high","C",5,"G1",1.108
"120","7","7-O-2","O","high","H",2,"G1",1.108
"121","8","8-O-1","O","high","H",1,"G1",1.038
"122","8","8-O-4","O","high","C",4,"G1",1.038
"123","8","8-O-6","O","high","C",6,"G1",1.038
"124","8","8-I-3","I","high","H",3,"G1",1.038
"125","8","8-I-2","I","high","H",2,"G1",1.038
"126","8","8-O-5","O","high","C",5,"G1",1.038
"127","8","8-I-6","I","high","C",6,"G1",1.038
"128","8","8-I-5","I","high","C",5,"G1",1.038
"129","8","8-O-3","O","high","H",3,"G1",1.038
"130","8","8-O-2","O","high","H",2,"G1",1.038
"131","8","8-I-1","I","high","H",1,"G1",1.038
"132","8","8-I-4","I","high","C",4,"G1",1.038
"133","9","9-O-3","O","high","H",3,"G9",1.193
"134","9","9-I-1","I","high","H",1,"G9",1.193
"135","9","9-I-6","I","high","C",6,"G9",1.193
"136","9","9-O-2","O","high","H",2,"G9",1.193
"137","9","9-O-5","O","high","C",5,"G9",1.193
"138","9","9-O-1","O","high","H",1,"G9",1.193
"139","9","9-O-4","O","high","C",4,"G9",1.193
"140","9","9-I-4","I","high","C",4,"G9",1.193
"141","9","9-I-5","I","high","C",5,"G9",1.193
"142","9","9-I-2","I","high","H",2,"G9",1.193
"143","9","9-O-6","O","high","C",6,"G9",1.193
"144","9","9-I-3","I","high","H",3,"G9",1.193
