Date_Time,Temp,Water Detect,Button Down,Host Connected,Button Up,End of File
6/19/22 22:10,18.176,,,,,
6/19/22 22:15,18.176,,,,,
6/19/22 22:20,18.155,,,,,
6/19/22 22:25,18.155,,,,,
6/19/22 22:30,18.144,,,,,
6/19/22 22:35,18.155,,,,,
6/19/22 22:40,18.144,,,,,
6/19/22 22:45,18.112,,,,,
6/19/22 22:50,18.123,,,,,
6/19/22 22:55,18.09,,,,,
6/19/22 23:00,18.101,,,,,
6/19/22 23:05,18.09,,,,,
6/19/22 23:10,18.058,,,,,
6/19/22 23:15,18.048,,,,,
6/19/22 23:20,18.015,,,,,
6/19/22 23:25,18.026,,,,,
6/19/22 23:30,18.005,,,,,
6/19/22 23:35,17.983,,,,,
6/19/22 23:40,17.962,,,,,
6/19/22 23:45,17.951,,,,,
6/19/22 23:50,17.908,,,,,
6/19/22 23:55,17.865,,,,,
6/20/22 0:00,17.865,,,,,
6/20/22 0:05,17.865,,,,,
6/20/22 0:10,17.887,,,,,
6/20/22 0:15,17.844,,,,,
6/20/22 0:20,17.833,,,,,
6/20/22 0:25,17.801,,,,,
6/20/22 0:30,17.801,,,,,
6/20/22 0:35,17.801,,,,,
6/20/22 0:40,17.779,,,,,
6/20/22 0:45,17.79,,,,,
6/20/22 0:50,17.769,,,,,
6/20/22 0:55,17.747,,,,,
6/20/22 1:00,17.758,,,,,
6/20/22 1:05,17.737,,,,,
6/20/22 1:10,17.715,,,,,
6/20/22 1:15,17.704,,,,,
6/20/22 1:20,17.683,,,,,
6/20/22 1:25,17.661,,,,,
6/20/22 1:30,17.651,,,,,
6/20/22 1:35,17.64,,,,,
6/20/22 1:40,17.619,,,,,
6/20/22 1:45,17.597,,,,,
6/20/22 1:50,17.586,,,,,
6/20/22 1:55,17.576,,,,,
6/20/22 2:00,17.576,,,,,
6/20/22 2:05,17.533,,,,,
6/20/22 2:10,17.543,,,,,
6/20/22 2:15,17.522,,,,,
6/20/22 2:20,17.501,,,,,
6/20/22 2:25,17.468,,,,,
6/20/22 2:30,17.447,,,,,
6/20/22 2:35,17.436,,,,,
6/20/22 2:40,17.404,,,,,
6/20/22 2:45,17.383,,,,,
6/20/22 2:50,17.372,,,,,
6/20/22 2:55,17.34,,,,,
6/20/22 3:00,17.34,,,,,
6/20/22 3:05,17.34,,,,,
6/20/22 3:10,17.297,,,,,
6/20/22 3:15,17.297,,,,,
6/20/22 3:20,17.275,,,,,
6/20/22 3:25,17.286,,,,,
6/20/22 3:30,17.275,,,,,
6/20/22 3:35,17.275,,,,,
6/20/22 3:40,17.265,,,,,
6/20/22 3:45,17.232,,,,,
6/20/22 3:50,17.211,,,,,
6/20/22 3:55,17.222,,,,,
6/20/22 4:00,17.2,,,,,
6/20/22 4:05,17.19,,,,,
6/20/22 4:10,17.168,,,,,
6/20/22 4:15,17.147,,,,,
6/20/22 4:20,17.147,,,,,
6/20/22 4:25,17.147,,,,,
